Topic,Count,Name,Representation,Representative_Docs
0,1168,0_unitedhealthcare_the_of_to,"['unitedhealthcare', 'the', 'of', 'to', 'ceo', 'and', 'for', 'insurance', 'is', 'in']","['How many people did the CEO of UnitedHealthcare pay for the privilege of killing people?', 'When I shot the CEO of UnitedHealthcare', 'Killed the CEO of UnitedHealthcare who is a millionaire guilty for the death of thousands of people. He refused more than half of the insurance claims people made to his company and for that reason a lot of people have died cuz they cant afford their medicine or treatements']"
1,1090,1_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'was', 'to', 'and', 'he', 'for', 'people']","[""The problem with Brian Thompson isn't that he is rich; the problem with Brian Thompson is what he did to make his money."", 'I killed Brian Thompson.', 'I killed Brian Thompson']"
2,1033,2_luigi_free_need_we,"['luigi', 'free', 'need', 'we', 'you', 'my', 'to', 'him', 'the', 'this']","['Free $LUIGI 🫡', 'Free #luigi', 'free $luigi']"
3,984,3_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'to', 'ceo', 'in', 'and', 'was', 'for']","[""The CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans who will not be with their 'loved ones' at Christmas because they were mass-murdered by Brian Thompson. So think about those countless thousands of families as well."", 'Read ""Reporter has ‘no sympathy’ for UnitedHealthcare CEO Brian Thompson"" \n Because health insurance companies are SO greedy, I can\'t help but wonder how many people are dead BECAUSE OF Brian Thompson and ceo\'s like him..', ""From what I've read about Brian Thompson, CEO of United Healthcare and the fact that the buck stopped with him in the area of claim denial, and that he is possibly responsible for the deaths of more than 10k people who trusted they'd get the care they desperately needed - the way…""]"
4,979,4_the_luigi_to_and,"['the', 'luigi', 'to', 'and', 'ceo', 'is', 'of', 'that', 'people', 'you']","['he killed someone that denied healthcare to thousands of americans so… and we were talking about the pics not the people, but luigi clears at that too', 'Yes people would be mad at Luigi if he murdered someone that’s innocent! But the thing is that the greedy CEO that got killed, was responsible for countless deaths after HIS company denied health insurance claims, just so they could shove more money into their pockets.', 'The CEO killed this man\n\nThe CEO deserved to die in pain and suffering like the people he killed\n\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\n\nLuigi is a hero and you are a bootlicking dog.']"
5,783,5_mangione_luigi_the_is,"['mangione', 'luigi', 'the', 'is', 'hero', 'to', 'free', 'this', 'in', 'and']","['Mangione is a hero', 'you need a “Luigi Mangione”', 'Luigi Mangione is the hero of the people.']"
6,728,6_luigi_the_is_and,"['luigi', 'the', 'is', 'and', 'to', 'of', 'for', 'he', 'people', 'that']","['You have to be rich for the cops to care about you. Luigi is a hero', ""When person killed was a man who let thousands die for profit, yeah I'm glad he's dead\n\nWas what Luigi did illegal, yes for sure it was and he should be punished for his actions\n\nWere his actions just, also yes\n\nThe law and just are not always on the same side"", 'Men are melting down. Like it or not, Luigi had his code and he did what he felt was just. \n\nMost people know murder is wrong, but as an example, most people wouldn’t hesitate to kill a pedophile, they have accepted the terms and so did Luigi. That’s why he’s a hero to many.']"
7,724,7_mangione_the_luigi_is,"['mangione', 'the', 'luigi', 'is', 'of', 'to', 'and', 'for', 'healthcare', 'ceo']","['He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!', ""Canadian Jury:\n'Americans pay money for healthcare and then they are denied healthcare.'\n\nWhat did Luigi Mangione say that was wrong?\n\n“These parasites had it coming … I do apologize for any strife and trauma, but it had to be done.”\n- Luigi Mangione ()"", 'Luigi Mangione is going on trial for the death of one healthcare CEO.\n\nBut what if we also put healthcare CEOs and insurance companies on trial for the death of millions of people for denying healthcare for so many years?']"
8,674,8_luigi_the_is_hero,"['luigi', 'the', 'is', 'hero', 'to', 'and', 'he', 'this', 'did', 'you']","['I support to Luigi, He is a HERO', '$Hero is $Luigi 2.0', 'And this is why Luigi is a hero']"
9,106,9_lorenz_taylor_she_joy,"['lorenz', 'taylor', 'she', 'joy', 'felt', 'ceo', 'unitedhealthcare', 'says', 'of', 'murder']","['Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', ""Taylor Lorenz says she 'felt joy' after the murder of UnitedHealthcare CEO""]"
