Topic,Count,Name,Representation,Representative_Docs
0,1262,0_unitedhealthcare_the_of_to,"['unitedhealthcare', 'the', 'of', 'to', 'ceo', 'and', 'for', 'in', 'insurance', 'is']","[""I think if you see all the reactions to the killing of the UnitedHealthcare CEO and think there's something wrong with them, you are right. People's lives have been ruined by that healthcare company and the structure of the system it supports. It's a depraved system."", 'Killed the CEO of UnitedHealthcare who is a millionaire guilty for the death of thousands of people. He refused more than half of the insurance claims people made to his company and for that reason a lot of people have died cuz they cant afford their medicine or treatements', 'When I shot the CEO of UnitedHealthcare']"
1,1128,1_luigi_you_we_to,"['luigi', 'you', 'we', 'to', 'need', 'the', 'this', 'him', 'for', 'is']","['We need more Luigi’s', 'luigi we need you to do one more thing', 'The people’s Luigi']"
2,1121,2_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'was', 'to', 'and', 'he', 'people', 'for']","['fuck brian thompson', 'We do not know that was him in the video.\n\nWhoever it was in that video, however, did the right thing. Brian Thompson was just as much a murderer as his killer: more so, actually, since as CEO Thompson is responsible for the deaths of thousands.', 'I killed Brian Thompson.']"
3,964,3_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'to', 'ceo', 'in', 'and', 'was', 'for']","['Read ""Reporter has ‘no sympathy’ for UnitedHealthcare CEO Brian Thompson"" \n Because health insurance companies are SO greedy, I can\'t help but wonder how many people are dead BECAUSE OF Brian Thompson and ceo\'s like him..', ""From what I've read about Brian Thompson, CEO of United Healthcare and the fact that the buck stopped with him in the area of claim denial, and that he is possibly responsible for the deaths of more than 10k people who trusted they'd get the care they desperately needed - the way…"", 'Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway']"
4,936,4_luigi_the_is_and,"['luigi', 'the', 'is', 'and', 'to', 'of', 'hero', 'for', 'he', 'you']","['You have to be rich for the cops to care about you. Luigi is a hero', 'Men are melting down. Like it or not, Luigi had his code and he did what he felt was just. \n\nMost people know murder is wrong, but as an example, most people wouldn’t hesitate to kill a pedophile, they have accepted the terms and so did Luigi. That’s why he’s a hero to many.', '$Hero is $Luigi 2.0']"
5,779,5_mangione_luigi_the_is,"['mangione', 'luigi', 'the', 'is', 'hero', 'to', 'free', 'this', 'in', 'and']","['In this house Luigi Mangione is a hero.', 'Luigi Mangione, we need you!', 'Mangione is a hero']"
6,715,6_mangione_the_luigi_is,"['mangione', 'the', 'luigi', 'is', 'of', 'to', 'and', 'for', 'healthcare', 'ceo']","['She is 100% correct. Do I approve of what Luigi Mangione did? No. But denying healthcare that will save a person’s life is murder. Especially when the cause of denial is *greed*. The insurance companies are not about saving people’s lives, they are about making people rich.', ""What's y'all stance on the Luigi Mangione murder case of the CEO of United healthcare?? \nI just read his manifesto and that man is a martyr for all of us!"", 'Luigi Mangione is going on trial for the death of one healthcare CEO.\n\nBut what if we also put healthcare CEOs and insurance companies on trial for the death of millions of people for denying healthcare for so many years?']"
7,535,7_the_ceo_luigi_and,"['the', 'ceo', 'luigi', 'and', 'to', 'that', 'of', 'is', 'ceos', 'for']","[""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", 'The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', 'The CEO killed this man\n\nThe CEO deserved to die in pain and suffering like the people he killed\n\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\n\nLuigi is a hero and you are a bootlicking dog.']"
8,486,8_the_luigi_to_healthcare,"['the', 'luigi', 'to', 'healthcare', 'and', 'insurance', 'is', 'of', 'health', 'that']","['You see, the reason why what Luigi did is a crime and the thousands of people killed every year by health insurance companies is not a crime, is that those companies have a ""fiduciary responsibility"" to kill all those people. Great argument from the blue check crowd.', ""Luigi is one of millions of victims of that so-called 'health care system'.\nIn Europe we try hard not to get there, only one look at the US, we can see how bad it is. Ppl in the US are dying daily bc the insurances refuse to pay-out to their clientele. It's just ridiculous. Get a…"", 'Bullshit. You killed people for fun. We all know it—and so do you. \nLuigi killed in order to highlight the hypocrisy and greed of the insurance industry. \nI’m not saying what Luigi did was right. But what you did was senseless and disgusting.\nYou’re nothing but a MAGA monster.']"
9,343,9_free_luigi_my_he,"['free', 'luigi', 'my', 'he', 'him', 'boy', 'man', 'to', 'and', 'the']","['Free $luigi', 'free $luigi!', 'Free $LUIGI !!!! 🫡']"
